Index,BanyuleCityCouncil,BaysideCityCouncil,BoroondaraCityCouncil,BrimbankCityCouncil,CaseyCityCouncil,DarebinCityCouncil,FrankstonCityCouncil,GlenEiraCityCouncil,GreaterDandenongCityCouncil,HobsonsBayCityCouncil,HumeCityCouncil,KingstonCityCouncil,KnoxCityCouncil,MacedonRangesShireCouncil,ManninghamCityCouncil,MaribyrnongCityCouncil,MaroondahCityCouncil,MelbourneCityCouncil,MeltonCityCouncil,MonashCityCouncil,MooneeValleyCityCouncil,MorelandCityCouncil,NillumbikShireCouncil,PortPhillipCityCouncil,StonningtonCityCouncil,WhitehorseCityCouncil,WhittleseaCityCouncil,WyndhamCityCouncil,YarraCityCouncil
1449,0.753013427708962,0.543228895596961,0.695243051941293,0.844634120953471,0.0812532528364732,0.874237535130634,0,0.650983657749558,0.242698032684501,0.695950869157906,0.70750494431144,0.372603310086395,0.364609139169356,0.214635161861143,0.638326220464245,0.881253252836473,0.401831997501822,0.83684813157073,0.552826064328094,0.478213802435724,1,0.994524825647965,0.693452690746331,0.796814822525242,0.740668262725096,0.529759550327886,0.719121473925263,0.402477360258145,0.845258665556365
1450,0.689203831317991,0.568218263771508,0.690937459368093,0.886100637108308,0.0575131105621289,0.808109045204351,0,0.670220604169375,0.230919256273566,0.749599098513414,0.617995059160057,0.380704719802366,0.329345988818099,0.129263641485719,0.596714774845057,0.943180340657912,0.350171195769948,0.866163914532137,0.524162440948295,0.460711654314567,1,0.911064881029775,0.609716985220821,0.839357690807437,0.763684826420491,0.491505222554501,0.6178650370563,0.433255320071079,0.851883153469423
1451,0.71421647819063,0.605008077544427,0.734294945765059,0.894807292868682,0.0612970228479114,0.834848834525733,0,0.714493422570967,0.246318947611355,0.774682667897531,0.589960766212786,0.406092776367413,0.346988229863836,0.0677590583891069,0.626263558735287,0.978882990999308,0.364643434110316,0.923171013154858,0.492984075698131,0.489083775675052,1,0.927094391876298,0.622686360489269,0.892868682206324,0.814031848603739,0.516939764597277,0.620309254558043,0.42467112854835,0.904961920147704
1452,0.683056519329077,0.538360467264776,0.659015787636782,0.892627645814942,0.0566425095978156,0.801083988585272,0,0.634933995770802,0.220062000862264,0.734443326695272,0.688948654252807,0.360528855037057,0.320679956476216,0.226570038391262,0.581473649633538,0.909934509022973,0.347348539284321,0.820813402040691,0.589603564023076,0.441355806935063,1,0.915580282904597,0.618653636904884,0.795622985485229,0.723603440842555,0.478207312816933,0.642571188076126,0.456219589808865,0.811615923135355
1453,0.662636692371368,0.570034418158846,0.668605411057378,0.991765782250686,0.0379253256654903,0.784951858144905,0,0.66172177928811,0.214612468958306,0.816995599703742,0.686642268984446,0.374351936566026,0.301812399250643,0.222323879231473,0.567463948067791,0.98642878926502,0.319783906243193,0.85343963752015,0.637520149871476,0.437415588376247,1,0.900535877663051,0.587809872347841,0.842155709493312,0.753409140417375,0.462597481810657,0.608068662048534,0.52873262754324,0.828736984272208
1454,0.679607250755287,0.565925766076824,0.682628398791541,0.903021148036254,0.0530643072939146,0.798683642641347,0,0.665235217954251,0.226283987915408,0.760228744065602,0.628247734138973,0.377492447129909,0.321687526974536,0.146374622356495,0.587160120845921,0.951359516616314,0.341670263271472,0.859624514458351,0.54326715580492,0.45334484246871,1,0.904553301683211,0.601488994389296,0.836642209753992,0.757962883038412,0.482628398791541,0.612149331031506,0.44997842037117,0.842619766940009
1455,0.672017426982213,0.554575640293552,0.666730114417444,0.920859505530529,0.0495949918575388,0.791235750692638,0,0.650254848465622,0.219465769938456,0.763847471607132,0.662373368864074,0.368652581265994,0.313706829092909,0.194721147135334,0.576147875557812,0.944440919569401,0.33525791510691,0.840323160543959,0.583127128143307,0.442040479664996,1,0.902924941310831,0.599898483598756,0.82010447729628,0.740921684326291,0.472516549288328,0.617811898568196,0.472157012033923,0.823699849840323
1456,0.671233745639074,0.554371498044191,0.665207738661592,0.928998837086373,0.0484194946611692,0.790760122634528,0,0.649370969447087,0.218374035310286,0.768516756528174,0.67104345068189,0.368030447193149,0.312168305317687,0.20530711491701,0.574690770694577,0.946780843640977,0.333819642668358,0.839158473411566,0.594312295168622,0.440553969764246,1,0.903605032244423,0.599894280579342,0.819832963315361,0.739909081298235,0.470980019029496,0.619240934559679,0.479923882017126,0.822095358917433
1457,0.671907358099827,0.554097459955201,0.666053843878112,0.922361692236169,0.0493850640294156,0.791154220024513,0,0.649592155868306,0.219136976459152,0.764401335531043,0.665102911964837,0.368243100460674,0.313342631334263,0.198153078906217,0.575736443937281,0.944254258061789,0.335023878956933,0.839482693039178,0.586175563163011,0.441528253243734,1,0.903216263048899,0.600143696378006,0.819407463758928,0.740163137652677,0.472127129030895,0.618549511854951,0.47383880647479,0.822894214107603
1458,0.707538304392237,0.535730337078652,0.660592441266599,0.9214708886619,0.0595097037793666,0.826680286006129,0,0.632257405515833,0.221082737487232,0.74782431052094,0.794402451481103,0.35899897854954,0.328825331971399,0.333830439223698,0.594606741573034,0.911950970377937,0.362226762002043,0.817364657814096,0.678958120531154,0.444923391215526,1,0.945740551583248,0.65511746680286,0.791848825331971,0.720612870275792,0.488988764044944,0.695137895812053,0.494075587334014,0.811746680286006
